20994	174	3	
44036	25472	3	
14860	14697	1	
14860	26670	1	
14860	54800	1	
14860	20280	1	
14860	174	3	
42511	8641	3	
54800	14860	3	
23057	701	3	
13335	21651	1	
13335	7380	1	
13335	38638	1	
13335	19225	1	
13335	33619	1	
13335	36198	1	
13335	19869	1	
13335	48582	1	
13335	59432	2	
13335	16552	2	
13335	286	2	
13335	701	2	
13335	12956	3	
13335	174	3	
13335	6453	3	
13335	2914	3	
13335	5511	3	
13335	37271	3	
26651	174	3	
60447	44077	1	
60447	12956	3	
60447	2914	3	
60447	174	3	
21030	8641	3	
15399	16552	2	
15399	6453	3	
15399	37271	3	
59432	60458	1	
59432	57910	1	
59432	42535	1	
59432	13335	2	
59432	21859	2	
59432	12956	3	
42535	59432	3	
44074	286	3	
60458	59432	3	
60458	174	3	
44077	60447	3	
26670	14860	3	
62511	2828	3	
50740	8641	3	
36916	16552	2	
36916	37271	3	
35894	18943	3	
57910	59432	3	
57910	174	3	
6200	174	3	
20030	18943	3	
46657	2828	3	
46657	174	3	
50241	20817	1	
50241	8641	3	
59459	8641	3	
3680	701	3	
57452	8641	3	
47223	41421	1	
47223	52078	1	
47223	34494	1	
47223	174	3	
50299	8641	3	
3709	7018	3	
7810	7018	3	
7810	174	3	
62597	16552	2	
62597	2914	3	
62597	174	3	
62597	37271	3	
29319	49140	1	
29319	8641	3	
39560	174	3	
28809	8641	3	
33422	54181	1	
33422	27306	1	
33422	13547	1	
33422	54093	1	
33422	25810	1	
33422	40626	1	
33422	47059	1	
33422	25750	1	
33422	174	3	
21651	7018	3	
21651	13335	3	
25748	2828	3	
25750	33422	3	
7834	47264	3	
16539	7018	3	
12956	13335	1	
12956	60447	1	
12956	59432	1	
12956	43205	1	
12956	15133	1	
12956	54113	1	
12956	21859	1	
12956	12654	1	
12956	5511	2	
12956	2828	2	
12956	286	2	
12956	174	2	
12956	6453	2	
12956	701	2	
12956	1239	2	
12956	2914	2	
12956	7018	2	
14495	701	3	
14495	17232	3	
47264	8621	1	
47264	7834	1	
47264	16376	1	
47264	6842	1	
47264	16552	2	
47264	174	3	
40614	174	3	
16552	36916	2	
16552	47264	2	
16552	37549	2	
16552	37650	2	
16552	15133	2	
16552	54113	2	
